Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
142,0.49,0.9,0.93,0.75,0.85,0.91,0.849,0.5801,0.77,0.59,0.88,0.92,0.9679908770243738,0.675501273232125,0.9433848204523531
143,0.49,0.9,0.93,0.75,0.86,0.91,0.8505,0.5816,0.7692,0.6,0.88,0.92,0.9679474087931146,0.6781707284981265,0.9433183777179961
144,0.5,0.9,0.93,0.75,0.85,0.92,0.8498,0.5831,0.7693,0.6,0.88,0.92,0.9679819319581257,0.6636536528281483,0.943415699914858
145,0.5,0.9,0.92,0.75,0.85,0.91,0.8483,0.5831,0.7678,0.6,0.87,0.92,0.9680631717465937,0.6661663183328493,0.943327553540886
146,0.51,0.9,0.93,0.75,0.86,0.92,0.8533,0.5905,0.7735,0.6,0.88,0.92,0.9683589665342741,0.6619619381684846,0.9431236603295763
147,0.5,0.9,0.92,0.75,0.85,0.91,0.8476,0.586,0.7685,0.6,0.88,0.92,0.9680169690345726,0.6693531851715332,0.943180144134409
148,0.5,0.9,0.93,0.77,0.85,0.92,0.8505,0.5929,0.7693,0.6,0.88,0.92,0.9679352130248353,0.6593179291982837,0.9426292746922347
149,0.49,0.9,0.93,0.76,0.85,0.91,0.8505,0.5829,0.7658,0.59,0.87,0.92,0.9679323540943978,0.6742864916038158,0.9427934670984438
150,0.48,0.9,0.93,0.76,0.85,0.91,0.8505,0.5801,0.7687,0.59,0.87,0.92,0.9681688851415379,0.6626197392648998,0.9422199564962264
151,0.48,0.9,0.93,0.76,0.85,0.91,0.8526,0.5759,0.77,0.59,0.88,0.92,0.9683429722997423,0.6742826375260885,0.942622216090241
152,0.49,0.9,0.93,0.77,0.85,0.91,0.8519,0.59,0.7693,0.6,0.88,0.92,0.9683363857682886,0.6703471338602905,0.9421345591947476
153,0.48,0.9,0.93,0.76,0.85,0.91,0.8533,0.5759,0.7679,0.59,0.87,0.92,0.9678831884213214,0.6424976007343018,0.9413316731314365
154,0.49,0.89,0.93,0.76,0.86,0.91,0.8512,0.5815,0.7685,0.59,0.88,0.92,0.9687917802290446,0.6520096276071599,0.941706263595833
155,0.49,0.9,0.93,0.76,0.85,0.92,0.8533,0.5801,0.77,0.59,0.88,0.92,0.9682412748509609,0.6417052140403602,0.9416537280356572
156,0.48,0.9,0.93,0.76,0.85,0.91,0.854,0.5759,0.77,0.59,0.88,0.92,0.9684652545705869,0.6465396556932219,0.9416908199607215
157,0.5,0.9,0.93,0.76,0.86,0.92,0.8554,0.5901,0.7757,0.6,0.88,0.92,0.9679630721058521,0.6525351804205198,0.9418442440782268
158,0.49,0.9,0.93,0.76,0.86,0.92,0.854,0.5829,0.7721,0.59,0.88,0.92,0.9683238239026379,0.6643027235896796,0.9421601436293264
159,0.48,0.9,0.93,0.76,0.86,0.92,0.8561,0.5759,0.7721,0.59,0.88,0.92,0.9682386437993231,0.6483534773892083,0.9420784059797869
160,0.49,0.9,0.93,0.78,0.85,0.91,0.8533,0.5885,0.77,0.6,0.88,0.92,0.9685083281821021,0.64817221355025,0.9427297193778565
