Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
124,0.48,0.9,0.93,0.75,0.85,0.91,0.8462,0.573,0.7665,0.59,0.87,0.92
125,0.48,0.9,0.92,0.74,0.85,0.91,0.8469,0.5716,0.7679,0.59,0.87,0.92
126,0.48,0.9,0.93,0.75,0.85,0.91,0.8476,0.5716,0.7686,0.58,0.87,0.92
127,0.48,0.9,0.93,0.75,0.85,0.91,0.8483,0.5702,0.7687,0.58,0.87,0.92
128,0.48,0.9,0.93,0.75,0.85,0.91,0.8476,0.5702,0.7679,0.58,0.87,0.92
129,0.47,0.9,0.93,0.75,0.85,0.91,0.8469,0.5634,0.7623,0.58,0.87,0.92
130,0.48,0.9,0.92,0.75,0.85,0.91,0.8448,0.5702,0.7651,0.58,0.87,0.92
131,0.46,0.9,0.93,0.75,0.85,0.91,0.8476,0.5607,0.763,0.57,0.87,0.92
132,0.48,0.9,0.92,0.75,0.85,0.91,0.8483,0.5702,0.7645,0.58,0.87,0.92
133,0.47,0.9,0.92,0.75,0.84,0.91,0.8434,0.5675,0.7595,0.58,0.87,0.92
134,0.48,0.9,0.93,0.75,0.85,0.91,0.8462,0.5702,0.7665,0.58,0.87,0.92
135,0.48,0.9,0.93,0.75,0.85,0.91,0.849,0.5716,0.7672,0.58,0.87,0.92
136,0.48,0.9,0.93,0.76,0.85,0.91,0.849,0.5773,0.7672,0.59,0.87,0.92
137,0.48,0.9,0.93,0.76,0.85,0.91,0.849,0.5759,0.768,0.59,0.87,0.92
138,0.48,0.9,0.93,0.75,0.85,0.91,0.849,0.573,0.768,0.59,0.87,0.92
139,0.49,0.9,0.92,0.75,0.85,0.91,0.8469,0.5787,0.7672,0.59,0.87,0.92
140,0.5,0.9,0.93,0.76,0.85,0.92,0.8512,0.5859,0.7707,0.6,0.88,0.92
141,0.49,0.9,0.93,0.76,0.85,0.92,0.8498,0.5844,0.7672,0.6,0.87,0.92
142,0.49,0.9,0.93,0.75,0.85,0.91,0.849,0.5801,0.77,0.59,0.88,0.92
143,0.49,0.9,0.93,0.75,0.86,0.91,0.8505,0.5816,0.7692,0.6,0.88,0.92
144,0.5,0.9,0.93,0.75,0.85,0.92,0.8498,0.5831,0.7693,0.6,0.88,0.92
145,0.5,0.9,0.92,0.75,0.85,0.91,0.8483,0.5831,0.7678,0.6,0.87,0.92
146,0.51,0.9,0.93,0.75,0.86,0.92,0.8533,0.5905,0.7735,0.6,0.88,0.92
147,0.5,0.9,0.92,0.75,0.85,0.91,0.8476,0.586,0.7685,0.6,0.88,0.92
148,0.5,0.9,0.93,0.77,0.85,0.92,0.8505,0.5929,0.7693,0.6,0.88,0.92
149,0.49,0.9,0.93,0.76,0.85,0.91,0.8505,0.5829,0.7658,0.59,0.87,0.92
150,0.48,0.9,0.93,0.76,0.85,0.91,0.8505,0.5801,0.7687,0.59,0.87,0.92
