Model,Accuracy
459,0.8671847403744259
491,0.8671847403744259
422,0.8671847403744259
498,0.8671847403744259
426,0.8671847403744259
416,0.8671847403744259
308,0.8671847403744259
469,0.8675379724478983
421,0.8675379724478983
371,0.8675379724478983
461,0.8675379724478983
452,0.8675379724478983
393,0.8675379724478983
394,0.8675379724478983
418,0.8675379724478983
442,0.8675379724478983
485,0.8675379724478983
438,0.8675379724478983
436,0.8675379724478983
435,0.8675379724478983
493,0.8675379724478983
411,0.8675379724478983
427,0.8675379724478983
467,0.8675379724478983
310,0.8678912045213706
476,0.8678912045213706
488,0.8678912045213706
490,0.8678912045213706
391,0.8678912045213706
419,0.8678912045213706
412,0.8678912045213706
403,0.8678912045213706
413,0.8678912045213706
432,0.8678912045213706
433,0.8678912045213706
439,0.8678912045213706
428,0.8678912045213706
444,0.8678912045213706
450,0.8678912045213706
434,0.8682444365948428
486,0.8682444365948428
430,0.8682444365948428
446,0.8682444365948428
492,0.8682444365948428
451,0.8682444365948428
455,0.8682444365948428
471,0.8682444365948428
390,0.8682444365948428
497,0.8682444365948428
410,0.8682444365948428
494,0.8685976686683151
445,0.8685976686683151
454,0.8685976686683151
484,0.8685976686683151
496,0.8685976686683151
487,0.8685976686683151
464,0.8685976686683151
458,0.8689509007417874
420,0.8689509007417874
400,0.8689509007417874
457,0.8689509007417874
392,0.8693041328152596
472,0.8696573648887319
414,0.8703638290356764
