Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
68,0.28,0.84,0.92,0.11,0.9,0.92,0.8505,0.1499,0.7467,0.16,0.87,0.92,0.9730509792372737,0.2173460860951211,0.9270805428111492
69,0.31,0.84,0.92,0.11,0.9,0.92,0.8484,0.1595,0.7457,0.16,0.87,0.92,0.9735377288927232,0.2165688759275145,0.9253162055846568
70,0.32,0.84,0.92,0.12,0.9,0.92,0.8526,0.1717,0.7519,0.18,0.87,0.92,0.9737030759882941,0.239209524289081,0.9296493278101242
71,0.3,0.84,0.92,0.11,0.9,0.92,0.8498,0.1555,0.7442,0.16,0.87,0.92,0.9735181827627625,0.23555019621066095,0.9273636934943857
72,0.29,0.84,0.92,0.12,0.9,0.92,0.849,0.1571,0.7457,0.17,0.87,0.92,0.9733682545773329,0.2170029814224881,0.9242644620921375
73,0.25,0.84,0.92,0.11,0.9,0.92,0.8533,0.134,0.7447,0.15,0.87,0.92,0.9734919938949301,0.22394175676594857,0.9281861321657638
74,0.26,0.84,0.92,0.11,0.9,0.92,0.8491,0.1357,0.744,0.15,0.87,0.92,0.9735761377265113,0.2143105326596835,0.9266826406497167
75,0.24,0.84,0.92,0.09,0.9,0.92,0.8512,0.1141,0.746,0.13,0.87,0.92,0.9737482758818854,0.2061136779397833,0.9288079948578402
76,0.33,0.84,0.93,0.11,0.91,0.92,0.8512,0.1658,0.7514,0.17,0.87,0.92,0.9737354977807684,0.2808725911442641,0.9342873147664922
77,0.32,0.84,0.92,0.12,0.9,0.92,0.8512,0.1717,0.7464,0.18,0.87,0.92,0.9732859644559261,0.29080869651405866,0.936904310626913
78,0.28,0.84,0.92,0.11,0.9,0.92,0.8512,0.1444,0.7457,0.15,0.87,0.92,0.9727785645689448,0.2731267315130103,0.9347246128191566
79,0.28,0.84,0.92,0.1,0.9,0.92,0.8505,0.1386,0.7445,0.15,0.87,0.92,0.9735714804660518,0.27556593679845215,0.9345421915086194
80,0.33,0.84,0.92,0.11,0.91,0.92,0.8547,0.168,0.7522,0.17,0.87,0.92,0.9737389684740323,0.2983148057414567,0.9375844827576592
81,0.33,0.84,0.92,0.1,0.91,0.92,0.8519,0.1553,0.7503,0.15,0.87,0.92,0.9733016363133771,0.2692959167341972,0.9340140670027582
82,0.31,0.84,0.92,0.11,0.9,0.92,0.8477,0.1541,0.7429,0.16,0.87,0.92,0.9732169762650901,0.28074200448468345,0.935478978638184
83,0.47,0.84,0.92,0.16,0.91,0.92,0.8505,0.2505,0.7583,0.24,0.88,0.92,0.9731861559172911,0.33840894188081433,0.9369495779655874
84,0.41,0.84,0.92,0.12,0.91,0.92,0.8484,0.1981,0.754,0.18,0.87,0.92,0.9735806736122256,0.3373465141331317,0.9374837574253205
85,0.43,0.84,0.92,0.13,0.91,0.92,0.8526,0.2143,0.759,0.2,0.88,0.92,0.9734183270537116,0.3513567577804148,0.9388198655703043
86,0.47,0.84,0.92,0.13,0.91,0.92,0.8512,0.2267,0.7603,0.21,0.88,0.92,0.9732118670554042,0.3646536180015137,0.9392091329573292
87,0.45,0.84,0.93,0.12,0.92,0.92,0.8519,0.2171,0.7582,0.2,0.88,0.92,0.9733678630513446,0.3507747167799449,0.9365598662621021
88,0.38,0.84,0.92,0.12,0.91,0.92,0.8526,0.1941,0.7539,0.19,0.87,0.92,0.973510788820332,0.3270161013609316,0.937049441525792
89,0.47,0.84,0.93,0.14,0.92,0.92,0.854,0.2328,0.762,0.21,0.88,0.92,0.9740529512156658,0.3665534806062561,0.9381084204678503
90,0.42,0.84,0.93,0.11,0.92,0.92,0.8561,0.1901,0.758,0.17,0.88,0.92,0.9742377015447438,0.3434750154223884,0.9371825519282535
91,0.5,0.84,0.92,0.12,0.91,0.92,0.8512,0.2247,0.756,0.19,0.88,0.92,0.9741771818272205,0.42204368970994166,0.9409371328103339
92,0.62,0.84,0.93,0.17,0.92,0.92,0.854,0.3078,0.7629,0.27,0.88,0.92,0.9742690284495052,0.4271564763665832,0.940377554705776
93,0.58,0.85,0.92,0.18,0.92,0.92,0.8533,0.3086,0.7646,0.28,0.88,0.92,0.9742798659568425,0.46001151362861037,0.9415716192153378
94,0.58,0.84,0.93,0.12,0.92,0.92,0.854,0.246,0.7599,0.2,0.88,0.92,0.9740163428211723,0.431091364351668,0.9389705028777094
95,0.46,0.84,0.92,0.12,0.91,0.92,0.8512,0.2203,0.7538,0.2,0.87,0.92,0.9745136779670643,0.40509986878063636,0.9396005393984903
96,0.6,0.84,0.93,0.19,0.92,0.92,0.8526,0.3207,0.7658,0.29,0.88,0.92,0.974232073975896,0.4473349341363413,0.9407866625375327
97,0.53,0.84,0.92,0.15,0.92,0.92,0.8505,0.2651,0.76,0.24,0.88,0.92,0.9740848598690757,0.3919183600703722,0.9394568761129296
98,0.64,0.84,0.92,0.18,0.92,0.92,0.8505,0.3248,0.7664,0.29,0.88,0.92,0.9755119944223063,0.44750548764120596,0.9414995037148031
99,0.44,0.84,0.92,0.09,0.91,0.92,0.8519,0.1821,0.7553,0.15,0.87,0.92,0.9756562731036792,0.3857093350975276,0.9397165539325417
100,0.65,0.85,0.92,0.21,0.92,0.92,0.8533,0.3529,0.7722,0.32,0.88,0.92,0.9758360584593374,0.47530678719181163,0.9430602902213576
101,0.67,0.85,0.92,0.21,0.92,0.92,0.8519,0.3571,0.773,0.32,0.88,0.92,0.9761845012304722,0.44460678858132907,0.9415401301979038
102,0.62,0.85,0.92,0.22,0.91,0.92,0.8519,0.3486,0.7664,0.32,0.88,0.92,0.9756197391682235,0.44709397634675074,0.9414863098820485
103,0.67,0.85,0.92,0.19,0.92,0.92,0.8498,0.342,0.7675,0.3,0.88,0.92,0.9759968715736241,0.46646370197662573,0.9425826109591128
104,0.63,0.85,0.93,0.22,0.92,0.92,0.8519,0.3563,0.7687,0.33,0.88,0.92,0.9759538958004772,0.46332042402251766,0.9416041950527881
105,0.69,0.85,0.93,0.24,0.92,0.92,0.854,0.3907,0.775,0.36,0.88,0.92,0.9757133407145748,0.47463770695814217,0.9432039437167448
106,0.66,0.85,0.92,0.24,0.92,0.92,0.8505,0.3826,0.7712,0.36,0.88,0.92,0.9759872808531628,0.4591574600115765,0.9420672251349225
107,0.64,0.85,0.92,0.26,0.91,0.92,0.8505,0.3856,0.7673,0.37,0.88,0.92,0.9759114363557351,0.48324045050372705,0.9426972326303809
108,0.56,0.85,0.92,0.2,0.91,0.92,0.8505,0.3184,0.7632,0.3,0.88,0.92,0.9759670724289018,0.4296961285233757,0.9403034553617768
109,0.62,0.85,0.92,0.26,0.91,0.92,0.8526,0.3855,0.7715,0.37,0.88,0.92,0.9760674895739712,0.4898146007655212,0.9425896481150369
110,0.71,0.85,0.92,0.26,0.92,0.92,0.8469,0.4163,0.7705,0.38,0.88,0.92,0.9759530280874886,0.552621104835818,0.9432659392618818
111,0.65,0.85,0.92,0.24,0.91,0.92,0.8491,0.3752,0.7677,0.35,0.88,0.92,0.9757136309951772,0.5029509736974721,0.9412610800705803
112,0.66,0.85,0.92,0.25,0.91,0.92,0.8512,0.3859,0.7717,0.36,0.88,0.92,0.9759383833241834,0.5545833424367989,0.9418539726944152
113,0.74,0.85,0.92,0.26,0.92,0.92,0.8526,0.418,0.7757,0.38,0.88,0.92,0.9762378625255296,0.5459293412299223,0.9411585055648054
114,0.72,0.85,0.92,0.19,0.92,0.92,0.8533,0.3565,0.7735,0.3,0.88,0.92,0.9757523451244435,0.4809035101094023,0.9406410039389985
115,0.7,0.85,0.92,0.23,0.92,0.92,0.8526,0.3845,0.7735,0.35,0.88,0.92,0.9761698847398274,0.5283264921951508,0.9417013063772725
116,0.69,0.85,0.93,0.22,0.92,0.92,0.8526,0.3769,0.7733,0.34,0.88,0.92,0.9755369280897577,0.5233536031560677,0.9409446585066805
117,0.68,0.85,0.92,0.22,0.92,0.92,0.849,0.3726,0.7702,0.34,0.88,0.92,0.9757978473830702,0.5278073017925544,0.9430099482520126
118,0.73,0.85,0.92,0.26,0.92,0.92,0.8512,0.4206,0.7725,0.39,0.88,0.92,0.9755829982529511,0.563441601630321,0.9429072309431823
119,0.7,0.85,0.92,0.23,0.92,0.92,0.8505,0.3845,0.7717,0.35,0.88,0.92,0.9756416567331776,0.5394836003959695,0.9426271560077449
120,0.76,0.85,0.92,0.29,0.92,0.92,0.8491,0.4523,0.7738,0.42,0.88,0.92,0.9757227596065233,0.6080861025612131,0.9441052849896876
121,0.75,0.85,0.92,0.26,0.92,0.92,0.8505,0.4226,0.7754,0.38,0.88,0.92,0.9757704110659311,0.5773425545650819,0.9422491572283399
122,0.73,0.85,0.92,0.27,0.92,0.92,0.8526,0.4276,0.7777,0.39,0.89,0.92,0.9754168223843906,0.5901888208660356,0.9437682202349077
123,0.73,0.85,0.92,0.24,0.92,0.92,0.8469,0.4037,0.7699,0.36,0.88,0.92,0.9756460340116863,0.5473486888642268,0.9417827747454289
124,0.75,0.85,0.92,0.26,0.92,0.92,0.8526,0.4296,0.7771,0.39,0.89,0.92,0.9752423952871963,0.5814711765023611,0.9435605376907484
125,0.77,0.86,0.92,0.26,0.92,0.92,0.8533,0.4342,0.7798,0.39,0.89,0.92,0.9754366304767734,0.593785923025004,0.943343017738533
126,0.77,0.86,0.92,0.3,0.92,0.92,0.8526,0.4654,0.7844,0.43,0.89,0.92,0.9754530550167516,0.6230034797587316,0.9435400325144373
127,0.78,0.85,0.92,0.28,0.92,0.92,0.8512,0.448,0.7793,0.41,0.89,0.92,0.9757880961230363,0.5871092176490778,0.9429095588063146
128,0.82,0.85,0.92,0.24,0.92,0.92,0.8526,0.4333,0.7774,0.38,0.89,0.92,0.9758990196762534,0.5861551911577636,0.9435510955983669
129,0.78,0.85,0.93,0.25,0.92,0.92,0.8547,0.425,0.7779,0.38,0.89,0.92,0.9755067390755237,0.5803960739832771,0.9426344753487376
130,0.81,0.85,0.92,0.25,0.92,0.92,0.8505,0.4351,0.7754,0.38,0.88,0.92,0.9754551490923838,0.5437503315991792,0.9422053925598449
131,0.74,0.84,0.92,0.16,0.92,0.92,0.8498,0.3334,0.7676,0.27,0.88,0.92,0.9754466247326016,0.5346686716095052,0.9425146902799487
132,0.73,0.85,0.93,0.23,0.92,0.92,0.8554,0.3936,0.7755,0.35,0.88,0.92,0.9753870567585334,0.5518907818100146,0.9423480302866167
133,0.73,0.85,0.93,0.25,0.92,0.92,0.8533,0.4109,0.7787,0.37,0.89,0.92,0.9760327920268577,0.5504311948393333,0.9426823811242377
