Model,overall_rank,avg_rank,rank_overall_mcc,rank_overall_recall,rank_overall_precision,rank_overall_accuracy
79,402,401.25,401.0,402.0,400.0,402.0
103,403,403.5,403.0,403.0,405.0,403.0
82,404,403.75,404.0,404.0,403.0,404.0
78,405,404.25,405.0,404.0,404.0,404.0
80,406,405.5,406.0,404.0,408.0,404.0
99,407,405.75,408.0,404.0,407.0,404.0
101,408,406.0,407.0,404.0,409.0,404.0
93,409,408.5,410.0,409.0,406.0,409.0
98,410,409.5,409.0,409.0,411.0,409.0
90,411,411.75,412.0,411.0,413.0,411.0
94,412,412.0,416.0,411.0,410.0,411.0
86,413,412.0,414.0,411.0,412.0,411.0
81,414,412.25,411.0,411.0,416.0,411.0
100,415,413.25,413.0,411.0,418.0,411.0
74,416,414.0,415.0,411.0,419.0,411.0
84,417,416.25,417.0,417.0,414.0,417.0
92,418,417.0,419.0,417.0,415.0,417.0
91,419,417.25,418.0,417.0,417.0,417.0
89,420,420.25,421.0,420.0,420.0,420.0
76,421,420.25,420.0,420.0,421.0,420.0
85,422,422.25,423.0,422.0,422.0,422.0
77,423,422.5,422.0,422.0,424.0,422.0
88,424,422.75,424.0,422.0,423.0,422.0
87,425,425.0,425.0,425.0,425.0,425.0
75,426,426.25,427.0,426.0,426.0,426.0
73,427,426.25,426.0,426.0,427.0,426.0
72,428,428.0,428.0,428.0,428.0,428.0
71,429,429.0,429.0,429.0,429.0,429.0
70,430,430.25,431.0,430.0,430.0,430.0
67,431,430.75,430.0,430.0,433.0,430.0
68,432,432.0,432.0,432.0,432.0,432.0
64,433,432.5,433.0,433.0,431.0,433.0
65,434,434.0,434.0,434.0,434.0,434.0
66,435,434.5,435.0,434.0,435.0,434.0
69,436,436.25,436.0,436.0,437.0,436.0
63,437,436.75,437.0,437.0,436.0,437.0
60,438,438.25,438.0,438.0,439.0,438.0
61,439,438.75,439.0,439.0,438.0,439.0
62,440,440.0,440.0,440.0,440.0,440.0
59,441,441.0,441.0,441.0,441.0,441.0
53,442,442.0,442.0,442.0,442.0,442.0
56,443,444.0,444.0,444.0,444.0,444.0
58,444,444.0,443.0,443.0,447.0,443.0
55,445,444.5,445.0,445.0,443.0,445.0
54,446,445.75,446.0,446.0,445.0,446.0
45,447,447.5,448.0,448.0,446.0,448.0
57,448,448.0,447.0,447.0,451.0,447.0
