Model,micro_recall,macro_recall,confusion_matrix
216,0.8979,0.8017,"[[1224, 3, 112], [7, 87, 58], [87, 22, 1231]]"
217,0.8990,0.8122,"[[1223, 4, 112], [6, 92, 54], [91, 19, 1230]]"
218,0.9004,0.8171,"[[1225, 3, 111], [6, 94, 52], [88, 22, 1230]]"
219,0.9007,0.8193,"[[1222, 4, 113], [6, 95, 51], [88, 19, 1233]]"
220,0.9022,0.8241,"[[1224, 3, 112], [6, 97, 49], [89, 18, 1233]]"
221,0.9007,0.8173,"[[1225, 3, 111], [6, 94, 52], [88, 21, 1231]]"
222,0.8993,0.8183,"[[1222, 3, 114], [6, 95, 51], [89, 22, 1229]]"
223,0.9004,0.8190,"[[1223, 4, 112], [6, 95, 51], [90, 19, 1231]]"
224,0.9011,0.8234,"[[1223, 3, 113], [7, 97, 48], [89, 20, 1231]]"
225,0.9018,0.8219,"[[1225, 5, 109], [6, 96, 50], [86, 22, 1232]]"
226,0.9011,0.8234,"[[1223, 4, 112], [6, 97, 49], [89, 20, 1231]]"
227,0.9018,0.8181,"[[1224, 3, 112], [6, 94, 52], [86, 19, 1235]]"
228,0.9032,0.8268,"[[1228, 3, 108], [7, 98, 47], [91, 18, 1231]]"
229,0.9032,0.8229,"[[1227, 3, 109], [6, 96, 50], [86, 20, 1234]]"
230,0.9036,0.8290,"[[1223, 3, 113], [6, 99, 47], [86, 18, 1236]]"
231,0.9032,0.8268,"[[1229, 3, 107], [7, 98, 47], [91, 19, 1230]]"
232,0.9014,0.8198,"[[1226, 3, 110], [7, 95, 50], [90, 19, 1231]]"
233,0.9025,0.8263,"[[1226, 3, 110], [7, 98, 47], [91, 18, 1231]]"
234,0.9029,0.8344,"[[1222, 2, 115], [6, 102, 44], [90, 18, 1232]]"
235,0.9018,0.8219,"[[1226, 3, 110], [6, 96, 50], [89, 20, 1231]]"
236,0.9014,0.8256,"[[1222, 3, 114], [6, 98, 48], [90, 18, 1232]]"
237,0.9029,0.8266,"[[1224, 3, 112], [6, 98, 48], [88, 18, 1234]]"
238,0.9025,0.8224,"[[1223, 2, 114], [6, 96, 50], [87, 17, 1236]]"
239,0.9007,0.8134,"[[1223, 2, 114], [7, 92, 53], [88, 17, 1235]]"
240,0.9032,0.8288,"[[1222, 3, 114], [6, 99, 47], [85, 19, 1236]]"
241,0.9007,0.8154,"[[1220, 2, 117], [7, 93, 52], [84, 19, 1237]]"
242,0.9029,0.8207,"[[1224, 2, 113], [7, 95, 50], [86, 17, 1237]]"
243,0.9029,0.8227,"[[1226, 2, 111], [6, 96, 50], [87, 19, 1234]]"
244,0.9000,0.8168,"[[1221, 3, 115], [6, 94, 52], [87, 20, 1233]]"
245,0.8990,0.8200,"[[1222, 3, 114], [6, 96, 50], [91, 22, 1227]]"
246,0.9007,0.8290,"[[1221, 3, 115], [6, 100, 46], [89, 22, 1229]]"
247,0.9007,0.8251,"[[1220, 3, 116], [6, 98, 48], [90, 18, 1232]]"
248,0.9018,0.8258,"[[1223, 2, 114], [7, 98, 47], [88, 20, 1232]]"
249,0.9004,0.8210,"[[1220, 3, 116], [6, 96, 50], [89, 18, 1233]]"
250,0.9022,0.8261,"[[1225, 2, 112], [7, 98, 47], [91, 18, 1231]]"
251,0.9039,0.8273,"[[1226, 2, 111], [7, 98, 47], [88, 17, 1235]]"
252,0.9018,0.8200,"[[1226, 3, 110], [6, 95, 51], [92, 16, 1232]]"
253,0.9032,0.8229,"[[1227, 1, 111], [7, 96, 49], [91, 15, 1234]]"
254,0.9032,0.8249,"[[1228, 2, 109], [6, 97, 49], [93, 15, 1232]]"
255,0.9046,0.8259,"[[1231, 1, 107], [6, 97, 49], [91, 16, 1233]]"
256,0.9053,0.8303,"[[1226, 1, 112], [6, 99, 47], [88, 14, 1238]]"
257,0.9014,0.8178,"[[1225, 2, 112], [6, 94, 52], [90, 17, 1233]]"
258,0.9039,0.8273,"[[1226, 1, 112], [7, 98, 47], [90, 15, 1235]]"
259,0.9011,0.8234,"[[1223, 2, 114], [6, 97, 49], [91, 18, 1231]]"
260,0.9043,0.8256,"[[1230, 1, 108], [6, 97, 49], [92, 15, 1233]]"
261,0.9043,0.8179,"[[1230, 1, 108], [7, 93, 52], [88, 15, 1237]]"
262,0.9036,0.8135,"[[1232, 2, 105], [6, 91, 55], [90, 15, 1235]]"
263,0.9046,0.8123,"[[1231, 2, 106], [6, 90, 56], [87, 13, 1240]]"
264,0.9014,0.8061,"[[1228, 2, 109], [6, 88, 58], [90, 14, 1236]]"
265,0.9039,0.8176,"[[1229, 2, 108], [7, 93, 52], [89, 14, 1237]]"
266,0.9046,0.8142,"[[1230, 2, 107], [6, 91, 55], [89, 11, 1240]]"
267,0.9032,0.8152,"[[1230, 3, 106], [6, 92, 54], [91, 14, 1235]]"
268,0.9025,0.8186,"[[1227, 1, 111], [6, 94, 52], [92, 14, 1234]]"
269,0.9060,0.8210,"[[1232, 1, 106], [6, 94, 52], [90, 11, 1239]]"
270,0.9053,0.8283,"[[1230, 2, 107], [6, 98, 48], [92, 13, 1235]]"
271,0.9043,0.8159,"[[1229, 1, 109], [6, 92, 54], [89, 12, 1239]]"
272,0.9032,0.8054,"[[1230, 1, 108], [6, 87, 59], [88, 12, 1240]]"
273,0.9032,0.8113,"[[1231, 1, 107], [6, 90, 56], [89, 15, 1236]]"
274,0.9039,0.8157,"[[1232, 1, 106], [6, 92, 54], [92, 13, 1235]]"
275,0.9050,0.8242,"[[1233, 2, 104], [6, 96, 50], [91, 16, 1233]]"
276,0.9046,0.8278,"[[1229, 1, 109], [6, 98, 48], [90, 16, 1234]]"
277,0.9039,0.8254,"[[1228, 2, 109], [6, 97, 49], [92, 14, 1234]]"
278,0.9018,0.8045,"[[1231, 2, 106], [6, 87, 59], [89, 16, 1235]]"
279,0.9011,0.8117,"[[1229, 2, 108], [6, 91, 55], [91, 18, 1231]]"
280,0.9032,0.8249,"[[1229, 2, 108], [6, 97, 49], [90, 19, 1231]]"
281,0.8990,0.7986,"[[1226, 3, 110], [5, 85, 62], [89, 17, 1234]]"
282,0.8986,0.7983,"[[1226, 2, 111], [4, 85, 63], [90, 17, 1233]]"
283,0.9043,0.8179,"[[1230, 2, 107], [5, 93, 54], [87, 16, 1237]]"
284,0.9004,0.8054,"[[1228, 2, 109], [5, 88, 59], [91, 16, 1233]]"
285,0.8983,0.7981,"[[1229, 2, 108], [5, 85, 62], [92, 19, 1229]]"
286,0.9014,0.8061,"[[1231, 1, 107], [6, 88, 58], [90, 17, 1233]]"
287,0.9011,0.8098,"[[1226, 2, 111], [5, 90, 57], [87, 18, 1235]]"
288,0.9022,0.8183,"[[1230, 2, 107], [5, 94, 53], [92, 18, 1230]]"
289,0.8986,0.8003,"[[1229, 2, 108], [5, 86, 61], [89, 22, 1229]]"
290,0.9046,0.8142,"[[1232, 2, 105], [5, 91, 56], [85, 17, 1238]]"
291,0.9029,0.8052,"[[1228, 2, 109], [5, 87, 60], [84, 15, 1241]]"
292,0.9007,0.8134,"[[1227, 2, 110], [7, 92, 53], [92, 17, 1231]]"
293,0.9053,0.8225,"[[1232, 1, 106], [5, 95, 52], [88, 16, 1236]]"
294,0.9053,0.8264,"[[1233, 2, 104], [5, 97, 50], [89, 18, 1233]]"
295,0.9029,0.8130,"[[1233, 3, 103], [5, 91, 56], [91, 17, 1232]]"
296,0.9022,0.8183,"[[1227, 2, 110], [5, 94, 53], [89, 18, 1233]]"
297,0.9004,0.8054,"[[1229, 2, 108], [5, 88, 59], [89, 19, 1232]]"
298,0.9004,0.8073,"[[1231, 2, 106], [5, 89, 58], [92, 19, 1229]]"
299,0.9032,0.8229,"[[1229, 1, 109], [6, 96, 50], [90, 18, 1232]]"
300,0.9050,0.8203,"[[1229, 2, 108], [6, 94, 52], [84, 17, 1239]]"
301,0.9004,0.7957,"[[1230, 4, 105], [5, 83, 64], [86, 18, 1236]]"
302,0.9046,0.8278,"[[1232, 2, 105], [5, 98, 49], [91, 18, 1231]]"
