Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
120,0.76,0.88,0.92,0.61,0.91,0.92,0.8476,0.6671,0.8016,0.68,0.9,0.92,0.9725482490917046,0.6831924383795198,0.9388236499320606
121,0.78,0.88,0.92,0.59,0.91,0.92,0.8483,0.6622,0.8038,0.67,0.9,0.92,0.9725650198145853,0.6744359614958563,0.9400284902440585
122,0.78,0.89,0.93,0.62,0.91,0.92,0.8519,0.681,0.8059,0.69,0.9,0.92,0.972585774546264,0.6867743182173809,0.9402833827259535
123,0.79,0.88,0.93,0.61,0.92,0.92,0.8512,0.6827,0.8074,0.69,0.9,0.92,0.9727474492501305,0.6955484228434046,0.9397588294660516
124,0.76,0.88,0.92,0.62,0.91,0.92,0.8483,0.6735,0.8029,0.69,0.9,0.92,0.9726349441908182,0.6835573526398138,0.9406282639266272
125,0.76,0.88,0.92,0.62,0.91,0.92,0.8498,0.6688,0.8008,0.68,0.9,0.92,0.9726425437244173,0.6762636443503022,0.9405414290402893
126,0.76,0.89,0.93,0.66,0.91,0.92,0.8547,0.6906,0.8099,0.7,0.9,0.92,0.9726254613447173,0.6800424410045778,0.941180045263048
127,0.75,0.89,0.93,0.64,0.91,0.92,0.8533,0.6815,0.8085,0.7,0.9,0.92,0.9730581711101877,0.6983254569940961,0.9412942972388522
128,0.75,0.89,0.92,0.65,0.91,0.92,0.8519,0.6832,0.8084,0.7,0.9,0.92,0.9730109872186568,0.6675274565481397,0.9410033857420574
129,0.76,0.88,0.93,0.62,0.91,0.92,0.8526,0.6735,0.8045,0.69,0.9,0.92,0.9732694524207857,0.6778885135970661,0.9419708202205109
130,0.77,0.89,0.92,0.62,0.91,0.92,0.8498,0.6795,0.8072,0.69,0.9,0.92,0.9730934525682378,0.6773522665124418,0.9422927612848764
131,0.77,0.88,0.93,0.64,0.91,0.91,0.8512,0.6873,0.8037,0.7,0.9,0.92,0.9731322111431935,0.6871730710221967,0.9399641323115938
132,0.79,0.89,0.93,0.66,0.91,0.92,0.8519,0.7054,0.8107,0.72,0.9,0.92,0.9734464854405698,0.7151429068304991,0.9415509028580868
133,0.77,0.89,0.93,0.65,0.91,0.92,0.8526,0.6949,0.8079,0.71,0.9,0.92,0.973466780788762,0.715222440495163,0.9417745450565949
134,0.79,0.89,0.93,0.66,0.91,0.92,0.8533,0.7054,0.8107,0.72,0.9,0.92,0.973360095640847,0.6936233591567385,0.9416439300890816
135,0.78,0.89,0.93,0.66,0.91,0.92,0.854,0.6994,0.8099,0.71,0.9,0.92,0.9732292823188459,0.7078375114111618,0.9414667456869875
136,0.78,0.89,0.93,0.64,0.91,0.92,0.8519,0.6918,0.8059,0.7,0.9,0.92,0.9736727390777854,0.7079672424225523,0.9431888974399015
137,0.8,0.89,0.93,0.64,0.91,0.92,0.854,0.698,0.8107,0.71,0.9,0.92,0.9734192685389164,0.7152790224074408,0.9429782710934692
138,0.78,0.89,0.93,0.65,0.91,0.92,0.8505,0.6979,0.8065,0.71,0.9,0.92,0.9731561228846884,0.716976496783001,0.942060011227978
139,0.77,0.89,0.93,0.65,0.91,0.92,0.8533,0.6949,0.8085,0.71,0.9,0.92,0.9734594693866212,0.6936162867272251,0.9428698560406571
