Model,micro_recall,macro_recall,confusion_matrix
255,0.8838,0.8443,"[[1224, 17, 98], [5, 114, 33], [94, 82, 1164]]"
256,0.8806,0.8401,"[[1220, 18, 101], [6, 113, 33], [92, 88, 1160]]"
257,0.8834,0.8440,"[[1222, 17, 100], [5, 114, 33], [91, 84, 1165]]"
258,0.8834,0.8440,"[[1221, 17, 101], [5, 114, 33], [96, 78, 1166]]"
259,0.8813,0.8425,"[[1223, 16, 100], [5, 114, 33], [95, 87, 1158]]"
260,0.8824,0.8433,"[[1222, 17, 100], [5, 114, 33], [94, 84, 1162]]"
261,0.8834,0.8440,"[[1222, 17, 100], [5, 114, 33], [94, 81, 1165]]"
262,0.8831,0.8418,"[[1223, 17, 99], [5, 113, 34], [94, 82, 1164]]"
263,0.8845,0.8448,"[[1223, 17, 99], [5, 114, 33], [91, 82, 1167]]"
264,0.8848,0.8431,"[[1226, 16, 97], [5, 113, 34], [93, 81, 1166]]"
265,0.8834,0.8401,"[[1223, 18, 98], [6, 112, 34], [95, 79, 1166]]"
266,0.8820,0.8411,"[[1224, 17, 98], [5, 113, 34], [97, 83, 1160]]"
267,0.8841,0.8426,"[[1226, 17, 96], [5, 113, 34], [93, 83, 1164]]"
268,0.8834,0.8401,"[[1225, 16, 98], [6, 112, 34], [92, 84, 1164]]"
269,0.8834,0.8421,"[[1225, 16, 98], [6, 113, 33], [98, 79, 1163]]"
270,0.8841,0.8426,"[[1227, 17, 95], [5, 113, 34], [96, 81, 1163]]"
271,0.8852,0.8433,"[[1228, 15, 96], [5, 113, 34], [95, 80, 1165]]"
272,0.8841,0.8426,"[[1225, 17, 97], [5, 113, 34], [96, 79, 1165]]"
273,0.8856,0.8436,"[[1224, 17, 98], [5, 113, 34], [90, 80, 1170]]"
274,0.8856,0.8436,"[[1225, 16, 98], [5, 113, 34], [93, 78, 1169]]"
275,0.8852,0.8433,"[[1224, 16, 99], [5, 113, 34], [95, 76, 1169]]"
276,0.8841,0.8445,"[[1223, 17, 99], [5, 114, 33], [91, 83, 1166]]"
277,0.8817,0.8408,"[[1224, 18, 97], [5, 113, 34], [94, 87, 1159]]"
278,0.8820,0.8430,"[[1223, 18, 98], [5, 114, 33], [96, 84, 1160]]"
279,0.8834,0.8440,"[[1223, 18, 98], [5, 114, 33], [94, 82, 1164]]"
280,0.8845,0.8448,"[[1224, 18, 97], [5, 114, 33], [93, 81, 1166]]"
281,0.8852,0.8472,"[[1222, 18, 99], [4, 115, 33], [91, 80, 1169]]"
282,0.8880,0.8492,"[[1227, 17, 95], [4, 115, 33], [90, 78, 1172]]"
283,0.8877,0.8509,"[[1226, 17, 96], [4, 116, 32], [91, 78, 1171]]"
284,0.8873,0.8506,"[[1229, 17, 93], [4, 116, 32], [92, 81, 1167]]"
285,0.8866,0.8501,"[[1227, 18, 94], [4, 116, 32], [92, 81, 1167]]"
286,0.8884,0.8514,"[[1229, 17, 93], [4, 116, 32], [94, 76, 1170]]"
287,0.8880,0.8531,"[[1227, 17, 95], [3, 117, 32], [91, 79, 1170]]"
288,0.8859,0.8516,"[[1227, 17, 95], [3, 117, 32], [95, 81, 1164]]"
289,0.8877,0.8528,"[[1227, 17, 95], [3, 117, 32], [92, 79, 1169]]"
290,0.8870,0.8523,"[[1225, 17, 97], [3, 117, 32], [93, 78, 1169]]"
291,0.8845,0.8486,"[[1223, 17, 99], [4, 116, 32], [94, 81, 1165]]"
292,0.8863,0.8499,"[[1224, 17, 98], [4, 116, 32], [92, 79, 1169]]"
293,0.8877,0.8528,"[[1227, 15, 97], [3, 117, 32], [94, 77, 1169]]"
